Id;MatchupId;TeamId;PlayerId;IsStarting;Min;Point;Assist;FieldGoalMade;FieldGoalMissed;3-PointFieldGoalMade;3-PointFieldGoalMissed;FreeThrowMade;FreeThrowMissed;Rebound;OFFR;DFFR;Steal;Block;Turnover;Foul
1;1;30;313;1;32;31;9;14;11;1;2;0;0;0;0;0;7;9;0;0
2;1;30;314;1;27;37;9;17;12;1;1;0;0;5;5;0;5;10;0;0
3;1;30;315;1;27;37;3;14;12;3;2;0;0;0;0;0;4;7;0;0
4;1;30;316;1;31;36;4;15;13;2;2;0;0;1;1;0;2;7;0;0
5;1;30;317;1;25;0;5;0;0;0;0;0;0;0;0;0;4;2;0;0
6;1;20;438;1;33;42;7;18;11;2;1;0;0;6;6;0;4;5;0;0
7;1;20;439;1;25;28;5;14;11;0;1;0;0;9;9;0;5;1;0;0
8;1;20;440;1;25;28;10;11;14;2;1;0;0;2;2;0;8;8;0;0
9;1;20;441;1;28;35;3;16;13;1;1;0;0;3;3;0;1;10;0;0
10;1;20;442;1;32;0;8;0;0;0;0;0;0;9;9;0;0;10;0;0
11;2;24;49;1;26;35;5;13;13;3;2;0;0;9;9;0;5;9;0;0
12;2;24;50;1;28;35;8;13;10;3;1;0;0;10;10;0;3;7;0;0
13;2;24;51;1;30;44;9;19;14;2;2;0;0;7;7;0;3;1;0;0
14;2;24;52;1;25;39;7;15;14;3;1;0;0;6;6;0;2;10;0;0
15;2;24;53;1;28;0;7;0;0;0;0;0;0;4;4;0;8;10;0;0
16;2;17;422;1;28;43;9;17;14;3;1;0;0;8;8;0;3;0;0;0
17;2;17;423;1;27;41;7;16;13;3;1;0;0;2;2;0;2;0;0;0
18;2;17;424;1;26;42;7;18;12;2;2;0;0;2;2;0;0;5;0;0
19;2;17;425;1;26;42;0;18;10;2;2;0;0;6;6;0;3;6;0;0
20;2;17;426;1;34;0;4;0;0;0;0;0;0;7;7;0;7;6;0;0
21;3;29;328;1;30;47;5;19;10;3;1;0;0;0;0;0;5;4;0;0
22;3;29;329;1;27;36;6;15;12;2;2;0;0;10;10;0;0;6;0;0
23;3;29;330;1;27;41;1;16;14;3;2;0;0;7;7;0;0;9;0;0
24;3;29;331;1;34;32;0;10;13;4;1;0;0;9;9;0;1;0;0;0
25;3;29;332;1;28;0;3;0;0;0;0;0;0;4;4;0;6;1;0;0
26;3;16;455;1;33;27;1;12;12;1;1;0;0;4;4;0;5;5;0;0
27;3;16;456;1;29;42;8;15;11;4;2;0;0;9;9;0;6;5;0;0
28;3;16;457;1;25;50;2;19;11;4;1;0;0;0;0;0;5;0;0;0
29;3;16;458;1;30;19;8;8;11;1;1;0;0;7;7;0;0;10;0;0
30;3;16;459;1;28;0;5;0;0;0;0;0;0;9;9;0;8;8;0;0
31;4;19;406;1;29;41;2;19;10;1;1;0;0;8;8;0;10;1;0;0
32;4;19;407;1;33;32;8;16;10;0;1;0;0;4;4;0;6;0;0;0
